"Record.ID","e","word","accuracy"
"BUBA089","eng","broom",1
"BUBA089","eng","octopus",0
"BUBA089","eng","mushroom",0
"BUBA089","eng","hanger",0
"BUBA089","eng","wheelchair",0
"BUBA089","eng","camel",0
"BUBA089","eng","mask",1
"BUBA089","eng","pretzel",0
"BUBA089","eng","bench",1
"BUBA089","eng","raquet",0
"BUBA089","eng","snail",0
"BUBA089","eng","volcano",0
"BUBA089","eng","seahorse",0
"BUBA089","eng","dart",1
"BUBA089","eng","canoe",1
"BUBA089","eng","globe",0
"BUBA089","eng","wreath",1
"BUBA089","eng","beaver",1
"BUBA089","eng","harmonica",0
"BUBA089","eng","rhinoceros",0
"BUBA089","eng","acorn",0
"BUBA089","eng","igloo",0
"BUBA089","eng","stilts",1
"BUBA089","eng","dominos",1
"BUBA089","eng","cactus",0
"BUBA089","eng","escalator",0
"BUBA089","eng","harp",1
"BUBA089","eng","hammock",0
"BUBA089","eng","knocker",1
"BUBA089","eng","pelican",0
"BUBA089","eng","stethoscope",0
"BUBA089","eng","pyramid",0
"BUBA089","eng","muzzle",1
"BUBA089","eng","unicorn",0
"BUBA089","eng","funnel",1
"BUBA089","eng","accordion",0
"BUBA089","eng","noose",0
"BUBA089","eng","asparagus",0
"BUBA089","eng","compass",0
"BUBA089","eng","latch",0
"BUBA089","eng","tripod",0
"BUBA089","eng","scroll",1
"BUBA089","eng","tongs",0
"BUBA089","eng","sphinx",0
"BUBA089","eng","yoke",1
"BUBA089","eng","trellis",0
"BUBA089","eng","palette",0
"BUBA089","eng","protractor",0
"BUBA089","eng","abacus",0
"BUBA090","eng","bed",1
"BUBA090","eng","tree",1
"BUBA090","eng","pencil",1
"BUBA090","eng","house",1
"BUBA090","eng","whistle",1
"BUBA090","eng","scissors",1
"BUBA090","eng","comb",1
"BUBA090","eng","flower",1
"BUBA090","eng","saw",1
"BUBA090","eng","toothbrush",1
"BUBA090","eng","helicopter",1
"BUBA090","eng","broom",1
"BUBA090","eng","octopus",1
"BUBA090","eng","mushroom",1
"BUBA090","eng","hanger",1
"BUBA090","eng","wheelchair",1
"BUBA090","eng","camel",1
"BUBA090","eng","mask",1
"BUBA090","eng","pretzel",1
"BUBA090","eng","bench",1
"BUBA090","eng","raquet",1
"BUBA090","eng","snail",1
"BUBA090","eng","volcano",1
